Zip Code,City / Community,2019*,2018,2017,2016,2015,2014
90001,"Los Angeles (South Los Angeles), Florence-Graham",2351,2325,2202,2046,1836,1763
90002,"Los Angeles (Southeast Los Angeles, Watts)",2333,2317,2208,2022,1817,1746
90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",2353,2331,2212,2053,1864,1768
90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",2868,2816,2852,2882,2735,2422
90005,"Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)",2833,2790,2752,2688,2593,2425
90006,"Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)",2672,2589,2636,2554,2380,2121
90007,"Los Angeles (Southeast Los Angeles, Univerity Park)",2572,2514,2550,2426,2197,1961
90008,"Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)",2540,2488,2493,2412,2215,2045
90010,Los Angeles (Wilshire Blvd),3551,3439,3449,3482,3383,3040
90011,Los Angeles (Southeast Los Angeles),2388,2354,2293,2120,1910,1819
90012,"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)",2524,2458,2429,2341,2253,2052
90013,Los Angeles (Downtown),2554,2473,2446,2421,2327,2132
90014,Los Angeles (Downtown),2473,2363,2304,2241,2171,2007
90015,"Los Angeles (Dowtown Fashion District, South Park-South)",2868,2742,2714,2701,2688,2555
90016,"Los Angeles (Mid-City, West Adams)",2578,2528,2500,2387,2190,2054
90017,"Los Angeles (Downtown, City West)",2626,2613,2613,2541,2480,2346
90018,"Los Angeles (Jefferson Park, Leimert Park)",2550,2477,2497,2359,2151,1993
90019,"Los Angeles (Arlington Heights, Country Club Park, Mid-City)",2878,2837,2862,2889,2645,2449
90020,"Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)",2426,2386,2346,2240,2127,1953
90022,East Los Angeles,2265,2218,2241,2098,1897,1765
90023,"Los Angeles (Boyle Heights), Commerce, East Los Angeles",2287,2241,2263,2085,1877,1747
90024,Los Angeles (Westwood),3774,3694,3695,3579,3443,3185
90025,"Los Angeles (Sawtelle, West Los Angeles)",3586,3481,3487,3412,3291,3013
90026,"Los Angeles (Echo Park, Silver Lake)",2831,2747,2847,2801,2554,2206
90027,"Los Angeles (Griffith Park, Hollywood, Los Feliz)",2863,2802,2839,2874,2694,2379
90028,Los Angeles (Hollywood),2731,2695,2693,2689,2560,2393
90029,Los Angeles (East Hollywood),2813,2697,2794,2817,2597,2247
90031,"Los Angeles (Lincoln Heights, Montecito Heights)",2442,2409,2465,2358,2131,1874
90032,"Los Angeles (El Sereno, Monterey Hills)",2327,2285,2302,2184,1956,1790
90033,Los Angeles (Boyle Heights),2343,2302,2371,2199,2000,1805
90034,Los Angeles (Palms),2827,2831,2826,2814,2635,2454
90035,Los Angeles (West Fairfax),3426,3351,3420,3462,3222,3089
90036,"Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)",3172,3128,3216,3165,2949,2837
90037,Los Angeles (South Los Angeles),2385,2352,2310,2109,1938,1836
90038,Los Angeles (Hollywood),2918,2807,2831,2775,2645,2437
90039,"Los Angeles (Atwater Village, Elysian Valley, Silver Lake)",2843,2741,2830,2811,2724,2318
90040,Commerce,2283,2238,2244,2084,1915,1785
90041,Los Angeles (Eagle Rock),2667,2567,2719,2590,2467,2117
90042,Los Angeles (Highland Park),2487,2441,2445,2356,2206,1977
90043,"Los Angeles (Hyde Park, View Park, Windsor Hills)",2415,2407,2347,2219,1958,1959
90044,"Athens, Los Angeles (South Los Angeles)",2352,2327,2242,2045,1853,1783
90045,"Los Angeles (Los Angeles International Airport, Westchester)",2784,2741,2777,2781,2544,2404
90046,Los Angeles (Mt Olympus) / West Hollywood,2975,2956,2947,2915,2768,2603
90047,Los Angeles (South Los Angeles),2346,2327,2248,2060,1857,1812
90048,"Los Angeles (Mid-City West), West Hollywood",3545,3467,3563,3647,3325,3130
90049,"Los Angeles (Bel Air Estates, Brentwood)",3858,3766,3780,3713,3648,3330
90056,Ladera Heights,2948,2941,2965,2864,2697,2541
90057,Los Angeles (Westlake),2298,2259,2248,2153,2018,1891
90059,"Los Angeles (Southeast Los Angeles, Watts), Willowbrook",2337,2317,2228,2039,1813,1762
90061,Los Angeles (South Los Angeles),2344,2321,2232,2062,1859,1795
90062,Los Angeles (South Los Angeles),2393,2372,2305,2138,1938,1899
90063,"City Terrace, Los Angeles (Boyle Heights)",2283,2230,2245,2073,1870,1734
90064,"Los Angeles (Cheviot Hills, Rancho Park)",3485,3379,3418,3384,3200,3012
90065,"Los Angeles (Cypress Park, Glassell Park, Mt Washington)",2621,2539,2664,2510,2387,2026
90066,"Culver City, Los Angeles (Mar Vista)",3085,3028,3108,3072,2930,2732
90067,Los AngelesCentury City,4522,4401,4316,4441,4206,3657
90068,Los Angeles (Hollywood),2900,2857,2797,2752,2633,2484
90069,"Los Angeles (Hollywood, Melrose), West Hollywood",3201,3169,3120,3136,2982,2688
90077,"Los Angeles (Bel Air Estates, Beverly Glen)",5981,6102,5920,5913,5710,5163
90094,Los AngelesPlaya Vista,3930,3837,3710,3821,3564,3206
90201,"Bell, Bell Gardens, Cudahy",2327,2273,2333,2186,1954,1810
90210,Beverly Hills,4805,4595,4517,4415,4446,3980
90211,Beverly Hills,3913,3826,3910,3924,3716,3501
90212,Beverly Hills,4447,4223,4198,4318,4047,3808
90220,"Compton, Rancho Dominguez",2304,2277,2233,2052,1819,1751
90221,"Compton, East Rancho Dominguez",2251,2223,2161,1987,1761,1724
