,Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
13403,2017-09-01,90001.0,"Los Angeles, CA",*,372300.0,0.0022,,41.0,0.1714,,27.0,-0.1563,,24.0,0.3333,0.7143,0.0,-1.0,,0.0,-1.0,,10.0,0.6667,4.0,381800.0,0.0111,0.107,51.0,0.2439,0.7586,0.2439,0.0725,0.1698
13404,2017-09-01,90002.0,"Los Angeles, CA",,339700.0,0.0006,0.076,60.0,-0.0769,0.0526,33.0,-0.2143,-0.0294,28.0,-0.2632,0.4,0.0,-1.0,-1.0,8.0,-0.3333,-0.3333,2.0,-0.6667,-0.75,342100.0,0.013,0.0782,62.0,-0.1268,-0.0462,0.0333,-0.059,-0.107
13405,2017-09-01,90003.0,"Los Angeles, CA",,357500.0,-0.0102,0.0949,45.0,0.1538,-0.2623,37.0,-0.0976,-0.1957,20.0,-0.1667,-0.2308,0.0,,,4.0,-0.6,-0.6,3.0,-0.25,-0.6667,368800.0,-0.0075,0.1386,48.0,0.1163,-0.3143,0.0667,-0.0359,-0.0809
13406,2017-09-01,90004.0,"Los Angeles, CA",,1062500.0,0.1184,0.0033,56.0,0.0566,-0.2533,47.0,-0.1296,-0.0784,24.0,0.3333,-0.1429,0.0,-1.0,,8.0,0.3333,-0.3333,8.0,0.0,-0.4286,1570500.0,0.0856,-0.0835,64.0,0.0492,-0.2809,0.1429,-0.0081,-0.0438
13407,2017-09-01,90005.0,"Los Angeles, CA",,859500.0,-0.0605,0.1048,25.0,-0.0385,-0.4565,43.0,0.2647,0.0,10.0,-0.2857,0.25,0.0,,,0.0,-1.0,-1.0,6.0,-0.25,-0.5,1514300.0,-0.0502,0.048,31.0,-0.0882,-0.4655,0.24,-0.0677,-0.0209
13408,2017-09-01,90006.0,"Los Angeles, CA",*,647100.0,0.0202,,55.0,0.0577,,42.0,0.1667,,12.0,-0.6,-0.25,2.0,,,2.0,-0.5,-0.5,5.0,-0.1667,-0.1667,682500.0,0.046,-0.0501,60.0,0.0345,0.5385,0.0909,-0.0245,-0.0909
13409,2017-09-01,90008.0,"Los Angeles, CA",*,730000.0,-0.0441,0.1231,23.0,-0.2813,,42.0,0.3548,0.0,6.0,-0.6667,-0.625,0.0,,,4.0,0.0,-0.6667,17.0,1.125,0.4167,851200.0,0.0304,0.2169,40.0,0.0,-0.2593,0.7391,0.4891,0.4534
13410,2017-09-01,90011.0,"Los Angeles, CA",,378700.0,0.0341,0.1057,33.0,-0.1316,0.0313,52.0,-0.1475,-0.1613,10.0,-0.2857,-0.375,0.0,,-1.0,8.0,1.0,,6.0,0.2,0.5,397100.0,0.02,0.1621,39.0,-0.093,0.0833,0.1818,0.0502,0.0568
13411,2017-09-01,90012.0,"Los Angeles, CA",,584300.0,0.0009,0.0179,39.0,0.0,-0.0488,63.0,0.0862,0.0678,10.0,0.0,-0.375,0.0,,,6.0,0.0,0.0,3.0,-0.625,-0.4,632100.0,-0.0307,-0.0874,42.0,-0.1064,-0.087,0.0769,-0.1282,-0.045
13412,2017-09-01,90015.0,"Los Angeles, CA",,865000.0,0.0441,0.1397,71.0,0.0,0.0758,50.0,-0.1071,-0.1071,14.0,-0.4167,0.1667,0.0,,-1.0,8.0,-0.2,-0.6,7.0,-0.125,-0.5625,1222200.0,-0.0334,-0.1112,78.0,-0.0127,-0.0488,0.0986,-0.0141,-0.1438
13413,2017-09-01,90016.0,"Los Angeles, CA",,637500.0,-0.0339,0.0546,37.0,0.0882,-0.2292,32.0,-0.2558,-0.1351,18.0,-0.1,-0.25,2.0,,,6.0,-0.4,0.0,11.0,0.0,-0.3125,666200.0,-0.0387,0.1054,48.0,0.0667,-0.25,0.2973,-0.0262,-0.036
13414,2017-09-01,90018.0,"Los Angeles, CA",,698700.0,0.0834,0.0799,36.0,-0.027,0.2,41.0,0.2424,0.1714,20.0,-0.0909,0.6667,0.0,,,8.0,1.0,-0.2,10.0,0.25,0.4286,771400.0,0.1069,0.2248,46.0,0.0222,0.2432,0.2778,0.0616,0.0444
13415,2017-09-01,90019.0,"Los Angeles, CA",,1125000.0,-0.0466,0.2514,51.0,-0.1053,-0.3108,42.0,-0.0667,-0.1064,22.0,0.0,-0.2667,0.0,-1.0,-1.0,4.0,0.0,-0.5,11.0,-0.2667,-0.2143,1169700.0,-0.0359,0.1726,62.0,-0.1389,-0.2955,0.2157,-0.0475,0.0265
13416,2017-09-01,90020.0,"Los Angeles, CA",,695500.0,-0.0496,-0.014,28.0,0.0769,-0.3913,32.0,-0.0588,-0.3043,12.0,-0.25,-0.1429,2.0,,,0.0,,-1.0,6.0,1.0,-0.4545,1581400.0,-0.2706,-0.1175,34.0,0.1724,-0.4035,0.2143,0.0989,-0.0248
13417,2017-09-01,90022.0,"Los Angeles, CA",,415000.0,-0.0086,0.085,26.0,0.0833,-0.1333,51.0,0.3077,0.5,8.0,-0.2,-0.5556,2.0,,-0.5,6.0,-0.25,0.0,1.0,-0.6667,-0.5,450300.0,0.0229,0.1561,27.0,0.0,-0.1563,0.0385,-0.0865,-0.0282
13418,2017-09-01,90024.0,"Los Angeles, CA",,1674500.0,0.0556,0.0849,114.0,-0.0087,-0.0087,52.0,0.0,0.0196,28.0,-0.3636,-0.3636,2.0,,,18.0,0.8,0.125,14.0,0.1667,-0.5,4833700.0,0.0388,0.971,128.0,0.0079,-0.1049,0.1228,0.0185,-0.1207
13419,2017-09-01,90025.0,"Los Angeles, CA",,971500.0,0.0099,0.1403,52.0,0.1064,-0.3882,30.0,-0.0323,-0.3023,26.0,-0.1333,-0.35,0.0,,,2.0,-0.5,-0.8333,12.0,0.0,-0.4783,1192200.0,0.0459,0.1192,64.0,0.0847,-0.4074,0.2308,-0.0245,-0.0398
13420,2017-09-01,90026.0,"Los Angeles, CA",,900000.0,0.0,0.1264,60.0,0.0526,0.1765,47.0,0.6207,0.0,24.0,0.0,0.3333,0.0,,,16.0,1.6667,1.0,8.0,-0.2727,-0.619,1082000.0,0.0449,0.2671,68.0,0.0,-0.0556,0.1333,-0.0596,-0.2784
13421,2017-09-01,90027.0,"Los Angeles, CA",,1598500.0,-0.0771,-0.0513,63.0,-0.0308,-0.0597,57.0,0.14,0.0755,22.0,0.0,-0.2667,0.0,,,6.0,-0.4,-0.4,9.0,0.0,-0.3077,1782500.0,-0.0414,-0.1889,72.0,-0.027,-0.1,0.1429,0.0044,-0.0512
13422,2017-09-01,90031.0,"Los Angeles, CA",,584700.0,-0.0824,0.009,19.0,-0.05,-0.2963,39.0,-0.0488,-0.1702,14.0,2.5,0.0,0.0,,,2.0,-0.5,0.0,3.0,-0.4,-0.6667,1124400.0,-0.1321,0.9633,22.0,-0.12,-0.3889,0.1579,-0.0921,-0.1754
13423,2017-09-01,90032.0,"Los Angeles, CA",,585000.0,-0.011,0.132,47.0,0.0444,-0.0784,35.0,0.75,-0.186,26.0,0.0,-0.1333,0.0,,-1.0,6.0,-0.5714,-0.5714,7.0,0.1667,0.1667,608400.0,-0.0078,0.1885,54.0,0.0588,-0.0526,0.1489,0.0156,0.0313
13424,2017-09-01,90034.0,"Los Angeles, CA",,1262000.0,0.1051,0.2968,43.0,0.0238,-0.2182,37.0,0.0882,-0.0263,20.0,0.1111,-0.3333,0.0,,,12.0,1.0,0.0,6.0,0.5,-0.6471,1489400.0,0.0632,0.3549,49.0,0.0652,-0.3194,0.1395,0.0443,-0.1696
13425,2017-09-01,90035.0,"Los Angeles, CA",,1326700.0,0.0814,0.0732,39.0,0.0833,-0.025,43.0,0.3871,-0.1042,14.0,0.1667,-0.3,0.0,,,6.0,0.0,0.5,9.0,-0.1,-0.3571,1855000.0,0.077,0.3056,48.0,0.0435,-0.1111,0.2308,-0.047,-0.1192
13426,2017-09-01,90036.0,"Los Angeles, CA",,1647300.0,-0.022,-0.0973,34.0,-0.0556,-0.2609,40.0,0.0526,-0.0698,14.0,-0.125,-0.4167,0.0,,,0.0,-1.0,-1.0,6.0,0.0,1.0,1909600.0,0.0138,-0.0766,40.0,-0.0476,-0.1837,0.1765,0.0098,0.1113
