date,regionLA,medianHomePriceLA,medianRentalPriceLA,regionUS,medianHomePriceUS,medianRentalPriceUS
1996-04,Los Angeles County,160800,,United States,100000,
1996-05,Los Angeles County,160700,,United States,100100,
1996-06,Los Angeles County,160600,,United States,100300,
1996-07,Los Angeles County,160400,,United States,100500,
1996-08,Los Angeles County,160200,,United States,100800,
1996-09,Los Angeles County,160100,,United States,101000,
1996-10,Los Angeles County,160100,,United States,101300,
1996-11,Los Angeles County,160100,,United States,101500,
1996-12,Los Angeles County,160500,,United States,101900,
1997-01,Los Angeles County,161000,,United States,102200,
1997-02,Los Angeles County,161300,,United States,102500,
1997-03,Los Angeles County,161400,,United States,102800,
1997-04,Los Angeles County,161500,,United States,103000,
1997-05,Los Angeles County,161600,,United States,103300,
1997-06,Los Angeles County,161700,,United States,103600,
1997-07,Los Angeles County,161900,,United States,104000,
1997-08,Los Angeles County,162300,,United States,104400,
1997-09,Los Angeles County,162800,,United States,104700,
1997-10,Los Angeles County,163700,,United States,105200,
1997-11,Los Angeles County,164800,,United States,105600,
1997-12,Los Angeles County,166400,,United States,106100,
1998-01,Los Angeles County,168300,,United States,106600,
1998-02,Los Angeles County,170000,,United States,107200,
1998-03,Los Angeles County,171400,,United States,107700,
1998-04,Los Angeles County,172700,,United States,108200,
1998-05,Los Angeles County,173800,,United States,108800,
1998-06,Los Angeles County,174700,,United States,109400,
1998-07,Los Angeles County,175400,,United States,110000,
1998-08,Los Angeles County,176200,,United States,110600,
1998-09,Los Angeles County,177100,,United States,111100,
1998-10,Los Angeles County,178100,,United States,111700,
1998-11,Los Angeles County,179200,,United States,112300,
1998-12,Los Angeles County,180600,,United States,112900,
1999-01,Los Angeles County,182300,,United States,113500,
1999-02,Los Angeles County,183900,,United States,114000,
1999-03,Los Angeles County,185200,,United States,114400,
1999-04,Los Angeles County,186600,,United States,114900,
1999-05,Los Angeles County,188000,,United States,115400,
1999-06,Los Angeles County,189400,,United States,116100,
