Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2019,Jan,Los Angeles County,Adj,Not Prelim,5162700,4919200,243400,4.7
2019,Feb,Los Angeles County,Adj,Not Prelim,5157500,4918000,239400,4.6
2019,Mar,Los Angeles County,Adj,Not Prelim,5149100,4910200,238900,4.6
2019,Apr,Los Angeles County,Adj,Not Prelim,5128400,4893400,235100,4.6
2019,May,Los Angeles County,Adj,Not Prelim,5114800,4883800,231000,4.5
2019,Jun,Los Angeles County,Adj,Not Prelim,5104400,4875300,229100,4.5
2019,Jul,Los Angeles County,Adj,Prelim,5099500,4872100,227300,4.5
2018,Jan,Los Angeles County,Adj,Not Prelim,5118400,4879800,238600,4.7
2018,Feb,Los Angeles County,Adj,Not Prelim,5119300,4880000,239300,4.7
2018,Mar,Los Angeles County,Adj,Not Prelim,5120500,4881100,239400,4.7
2018,Apr,Los Angeles County,Adj,Not Prelim,5121100,4882500,238600,4.7
2018,May,Los Angeles County,Adj,Not Prelim,5121400,4884000,237300,4.6
2018,Jun,Los Angeles County,Adj,Not Prelim,5123100,4887000,236200,4.6
2018,Jul,Los Angeles County,Adj,Not Prelim,5128800,4892800,236000,4.6
2018,Aug,Los Angeles County,Adj,Not Prelim,5137200,4900000,237100,4.6
2018,Sep,Los Angeles County,Adj,Not Prelim,5147200,4908100,239100,4.6
2018,Oct,Los Angeles County,Adj,Not Prelim,5155500,4914400,241100,4.7
2018,Nov,Los Angeles County,Adj,Not Prelim,5157400,4915400,242000,4.7
2018,Dec,Los Angeles County,Adj,Not Prelim,5156900,4914800,242100,4.7
2017,Jan,Los Angeles County,Adj,Not Prelim,5072100,4818900,253100,5
2017,Feb,Los Angeles County,Adj,Not Prelim,5076100,4825900,250200,4.9
2017,Mar,Los Angeles County,Adj,Not Prelim,5079800,4832200,247600,4.9
2017,Apr,Los Angeles County,Adj,Not Prelim,5083900,4838100,245700,4.8
2017,May,Los Angeles County,Adj,Not Prelim,5088700,4844700,244000,4.8
2017,Jun,Los Angeles County,Adj,Not Prelim,5094400,4852000,242400,4.8
2017,Jul,Los Angeles County,Adj,Not Prelim,5100500,4859500,241000,4.7
2017,Aug,Los Angeles County,Adj,Not Prelim,5106200,4866700,239500,4.7
2017,Sep,Los Angeles County,Adj,Not Prelim,5110900,4872600,238300,4.7
2017,Oct,Los Angeles County,Adj,Not Prelim,5114400,4876900,237500,4.6
2017,Nov,Los Angeles County,Adj,Not Prelim,5116700,4879200,237500,4.6
2017,Dec,Los Angeles County,Adj,Not Prelim,5117800,4879900,237900,4.6
2016,Jan,Los Angeles County,Adj,Not Prelim,5007100,4727300,279800,5.6
2016,Feb,Los Angeles County,Adj,Not Prelim,5016600,4741500,275100,5.5
2016,Mar,Los Angeles County,Adj,Not Prelim,5023900,4753200,270700,5.4
2016,Apr,Los Angeles County,Adj,Not Prelim,5029800,4762700,267100,5.3
2016,May,Los Angeles County,Adj,Not Prelim,5035500,4770600,264900,5.3
2016,Jun,Los Angeles County,Adj,Not Prelim,5041000,4777200,263800,5.2
2016,Jul,Los Angeles County,Adj,Not Prelim,5046400,4783300,263100,5.2
2016,Aug,Los Angeles County,Adj,Not Prelim,5051600,4789200,262400,5.2
2016,Sep,Los Angeles County,Adj,Not Prelim,5056300,4794600,261700,5.2
2016,Oct,Los Angeles County,Adj,Not Prelim,5060500,4799800,260600,5.2
2016,Nov,Los Angeles County,Adj,Not Prelim,5064400,4805700,258700,5.1
2016,Dec,Los Angeles County,Adj,Not Prelim,5068200,4812200,256000,5.1
2015,Jan,Los Angeles County,Adj,Not Prelim,5004800,4628600,376200,7.5
2015,Feb,Los Angeles County,Adj,Not Prelim,5003200,4633100,370100,7.4
2015,Mar,Los Angeles County,Adj,Not Prelim,5002100,4638600,363500,7.3
2015,Apr,Los Angeles County,Adj,Not Prelim,5000000,4644500,355500,7.1
2015,May,Los Angeles County,Adj,Not Prelim,4995600,4649800,345800,6.9
2015,Jun,Los Angeles County,Adj,Not Prelim,4988800,4654200,334600,6.7
2015,Jul,Los Angeles County,Adj,Not Prelim,4981400,4658300,323100,6.5
2015,Aug,Los Angeles County,Adj,Not Prelim,4975800,4663200,312600,6.3
2015,Sep,Los Angeles County,Adj,Not Prelim,4973900,4670600,303300,6.1
2015,Oct,Los Angeles County,Adj,Not Prelim,4977100,4681400,295700,5.9
2015,Nov,Los Angeles County,Adj,Not Prelim,4985100,4695300,289900,5.8
2015,Dec,Los Angeles County,Adj,Not Prelim,4996000,4711200,284800,5.7
2014,Jan,Los Angeles County,Adj,Not Prelim,4974200,4531400,442800,8.9
2014,Feb,Los Angeles County,Adj,Not Prelim,4977500,4541300,436200,8.8
2014,Mar,Los Angeles County,Adj,Not Prelim,4980200,4550200,430000,8.6
2014,Apr,Los Angeles County,Adj,Not Prelim,4982100,4557800,424300,8.5
2014,May,Los Angeles County,Adj,Not Prelim,4984300,4565400,418800,8.4
2014,Jun,Los Angeles County,Adj,Not Prelim,4988300,4574700,413600,8.3
2014,Jul,Los Angeles County,Adj,Not Prelim,4994000,4585000,409000,8.2
2014,Aug,Los Angeles County,Adj,Not Prelim,5000500,4595500,405000,8.1
2014,Sep,Los Angeles County,Adj,Not Prelim,5006300,4605300,401100,8
2014,Oct,Los Angeles County,Adj,Not Prelim,5009600,4613500,396100,7.9
2014,Nov,Los Angeles County,Adj,Not Prelim,5009200,4619600,389600,7.8
2014,Dec,Los Angeles County,Adj,Not Prelim,5007000,4624300,382700,7.6
2013,Jan,Los Angeles County,Adj,Not Prelim,4943400,4434000,509400,10.3
2013,Feb,Los Angeles County,Adj,Not Prelim,4945900,4439400,506400,10.2
2013,Mar,Los Angeles County,Adj,Not Prelim,4949800,4447200,502600,10.2
2013,Apr,Los Angeles County,Adj,Not Prelim,4956900,4458600,498300,10.1
2013,May,Los Angeles County,Adj,Not Prelim,4966000,4471900,494200,10
2013,Jun,Los Angeles County,Adj,Not Prelim,4975000,4484500,490500,9.9
2013,Jul,Los Angeles County,Adj,Not Prelim,4981400,4494700,486700,9.8
2013,Aug,Los Angeles County,Adj,Not Prelim,4983400,4502400,481000,9.7
2013,Sep,Los Angeles County,Adj,Not Prelim,4981600,4508600,473000,9.5
2013,Oct,Los Angeles County,Adj,Not Prelim,4978900,4514700,464200,9.3
2013,Nov,Los Angeles County,Adj,Not Prelim,4978400,4522200,456200,9.2
2013,Dec,Los Angeles County,Adj,Not Prelim,4980400,4531000,449400,9
2012,Jan,Los Angeles County,Adj,Not Prelim,4911400,4341300,570200,11.6
2012,Feb,Los Angeles County,Adj,Not Prelim,4906700,4344200,562500,11.5
2012,Mar,Los Angeles County,Adj,Not Prelim,4904800,4348200,556600,11.3
2012,Apr,Los Angeles County,Adj,Not Prelim,4904600,4353200,551400,11.2
2012,May,Los Angeles County,Adj,Not Prelim,4905700,4359600,546100,11.1
2012,Jun,Los Angeles County,Adj,Not Prelim,4907600,4367600,540000,11
2012,Jul,Los Angeles County,Adj,Not Prelim,4910300,4377300,533000,10.9
2012,Aug,Los Angeles County,Adj,Not Prelim,4914700,4388600,526100,10.7
2012,Sep,Los Angeles County,Adj,Not Prelim,4921400,4400800,520600,10.6
2012,Oct,Los Angeles County,Adj,Not Prelim,4928900,4412200,516700,10.5
2012,Nov,Los Angeles County,Adj,Not Prelim,4935700,4421600,514100,10.4
2012,Dec,Los Angeles County,Adj,Not Prelim,4940500,4428700,511800,10.4
2011,Jan,Los Angeles County,Adj,Not Prelim,4937900,4324400,613500,12.4
2011,Feb,Los Angeles County,Adj,Not Prelim,4936600,4328200,608400,12.3
2011,Mar,Los Angeles County,Adj,Not Prelim,4933300,4328900,604400,12.3
2011,Apr,Los Angeles County,Adj,Not Prelim,4928800,4326300,602600,12.2
2011,May,Los Angeles County,Adj,Not Prelim,4925300,4321800,603500,12.3
2011,Jun,Los Angeles County,Adj,Not Prelim,4923700,4318200,605600,12.3
2011,Jul,Los Angeles County,Adj,Not Prelim,4924400,4317900,606400,12.3
2011,Aug,Los Angeles County,Adj,Not Prelim,4926300,4321100,605200,12.3
2011,Sep,Los Angeles County,Adj,Not Prelim,4927700,4326400,601300,12.2
2011,Oct,Los Angeles County,Adj,Not Prelim,4927100,4331900,595200,12.1
2011,Nov,Los Angeles County,Adj,Not Prelim,4923600,4336200,587400,11.9
2011,Dec,Los Angeles County,Adj,Not Prelim,4917800,4339000,578800,11.8
2010,Jan,Los Angeles County,Adj,Not Prelim,4883200,4282800,600400,12.3
